2016-10-18T13:51:49Z,A
2016-10-18T13:51:50Z,A
2016-10-18T14:01:51Z,A
2017-01-26T07:53:26Z,B
2017-01-26T07:54:25Z,B
2017-01-26T07:54:38Z,B
2017-01-26T09:24:56Z,B
2017-01-26T09:25:43Z,B
2017-01-26T09:25:45Z,B
2017-01-26T10:30:37Z,B
2017-01-26T10:30:38Z,B
2017-01-26T10:30:39Z,B
2017-01-26T10:30:51Z,B
2017-01-26T10:34:00Z,B
2017-01-26T10:35:09Z,B
2017-01-26T10:46:47Z,B
2017-01-26T10:47:28Z,B
2017-01-26T10:47:28Z,B
2017-01-26T10:47:31Z,B
2017-01-26T10:47:31Z,B
2017-01-26T10:47:32Z,B
2017-01-26T10:47:33Z,B
2017-01-26T10:47:34Z,B
2017-01-26T10:47:34Z,B
2017-01-26T10:47:36Z,B
2017-01-26T10:58:35Z,B
2017-01-26T11:15:12Z,B
2017-01-26T11:15:44Z,B
2017-01-26T11:15:49Z,B
2017-01-26T11:18:32Z,B
2017-01-26T11:18:33Z,B
2017-01-26T11:18:34Z,B
2017-01-26T11:18:35Z,B
2017-01-26T11:19:10Z,B
2017-01-26T11:19:10Z,B
2017-01-26T11:19:12Z,B
2017-01-26T11:19:12Z,B
2017-02-12T19:01:35Z,C
2017-04-04T14:40:39Z,D
2017-04-04T14:40:39Z,D
2017-04-04T14:40:59Z,D
2017-04-04T14:41:00Z,D
2017-04-04T14:41:01Z,D
2017-04-04T14:41:02Z,D
2017-04-04T14:41:04Z,D
2017-04-04T14:48:41Z,D
2017-04-04T14:55:18Z,D
2017-04-04T14:55:19Z,D
2017-04-04T14:55:25Z,D
